image_name,image_path,image_exists,split,category_id,category_name,category_type,x1,y1,x2,y2,floral,graphic,striped,embroidered,pleated,solid,long_sleeve,short_sleeve,sleeveless,maxi_length,mini_length,crew_neckline,v_neckline,square_neckline,denim,chiffon,leather,faux,knit,tight,loose,pattern_family,material_family,fit_family,length_family,sleeve_family,neckline_family,outfit_feature_tags,outfit_feature_count,category_group
img/Sweet_Crochet_Blouse/img_00000070.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Sweet_Crochet_Blouse/img_00000070.jpg,True,train,3,Blouse,1,66,75,241,293,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,embroidered,chiffon,other,not_applicable,sleeveless,other,embroidered|chiffon,2,top
img/Classic_Pencil_Skirt/img_00000010.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Classic_Pencil_Skirt/img_00000010.jpg,True,train,33,Skirt,2,65,88,132,218,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,solid,other,tight,regular,not_applicable,not_applicable,solid|tight,2,bottom
img/Mid-Rise_-_Acid_Wash_Skinny_Jeans/img_00000010.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Mid-Rise_-_Acid_Wash_Skinny_Jeans/img_00000010.jpg,True,train,26,Jeans,2,64,1,129,273,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,solid,denim,tight,regular,not_applicable,not_applicable,solid|denim|tight,3,bottom
img/Zippered_Single-Button_Blazer/img_00000078.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Zippered_Single-Button_Blazer/img_00000078.jpg,True,train,2,Blazer,1,1,12,257,300,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,solid,other,other,not_applicable,long_sleeve,v_neckline,solid,1,outerwear
img/Boho_Babe_Crochet_Top/img_00000047.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Boho_Babe_Crochet_Top/img_00000047.jpg,True,train,19,Top,1,50,86,150,249,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,solid,other,loose,not_applicable,long_sleeve,other,solid|loose,2,top
img/Colorblock-Paneled_Tee/img_00000006.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Colorblock-Paneled_Tee/img_00000006.jpg,True,train,18,Tee,1,70,74,148,276,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,solid,other,loose,not_applicable,long_sleeve,v_neckline,solid|loose,2,top
img/Leopard_Print_Joggers/img_00000003.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Leopard_Print_Joggers/img_00000003.jpg,True,train,29,Joggers,2,70,1,195,284,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,graphic,other,other,regular,not_applicable,not_applicable,graphic,1,bottom
img/Drape-Front_Marled_Cardigan/img_00000009.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Drape-Front_Marled_Cardigan/img_00000009.jpg,True,train,6,Cardigan,1,18,77,185,297,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,solid,other,other,not_applicable,long_sleeve,other,solid,1,outerwear
img/Drawstring_Cargo_Joggers/img_00000019.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Drawstring_Cargo_Joggers/img_00000019.jpg,True,train,29,Joggers,2,53,114,141,249,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,solid,other,other,regular,not_applicable,not_applicable,solid,1,bottom
img/Chambray_Popover_Blouse/img_00000006.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Chambray_Popover_Blouse/img_00000006.jpg,True,train,3,Blouse,1,55,46,132,145,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,floral,denim,other,not_applicable,long_sleeve,crew_neckline,floral|denim,2,top
img/Embroidered_Bead_Keyhole_Blouse/img_00000009.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Embroidered_Bead_Keyhole_Blouse/img_00000009.jpg,True,train,3,Blouse,1,97,60,205,233,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,embroidered,other,other,not_applicable,sleeveless,v_neckline,embroidered,1,top
img/Varsity_Joggers/img_00000005.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Varsity_Joggers/img_00000005.jpg,True,train,29,Joggers,2,82,1,228,300,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,solid,other,other,regular,not_applicable,not_applicable,solid,1,bottom
img/Hooded_Asymmetrical_Longline_Jacket/img_00000018.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Hooded_Asymmetrical_Longline_Jacket/img_00000018.jpg,True,train,11,Jacket,1,49,45,191,300,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,solid,other,other,not_applicable,long_sleeve,crew_neckline,solid,1,outerwear
img/Quilted_Faux_Leather_Trim_Skirt/img_00000012.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Quilted_Faux_Leather_Trim_Skirt/img_00000012.jpg,True,train,33,Skirt,2,1,152,217,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,floral,other,other,regular,not_applicable,not_applicable,floral,1,bottom
img/Crochet_Trim_Tribal_Print_Shorts/img_00000020.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Crochet_Trim_Tribal_Print_Shorts/img_00000020.jpg,True,train,32,Shorts,2,1,2,243,174,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,graphic,other,other,regular,not_applicable,not_applicable,graphic,1,bottom
img/Colorblock-Paneled_Tee/img_00000022.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Colorblock-Paneled_Tee/img_00000022.jpg,True,train,18,Tee,1,1,1,225,300,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,solid,other,other,not_applicable,short_sleeve,crew_neckline,solid,1,top
img/Linen-Blend_Cargo_Shorts/img_00000059.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Linen-Blend_Cargo_Shorts/img_00000059.jpg,True,train,32,Shorts,2,7,1,240,280,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,solid,other,other,regular,not_applicable,not_applicable,solid,1,bottom
img/High-Waisted_Matelot_Skinny_Jeans/img_00000021.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/High-Waisted_Matelot_Skinny_Jeans/img_00000021.jpg,True,train,26,Jeans,2,67,1,147,253,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,solid,other,tight,regular,not_applicable,not_applicable,solid|tight,2,bottom
img/Open-Front_Shawl_Lapel_Blazer/img_00000084.jpg,/Users/jadenwu/Desktop/StyleSync/StyleSync/DeepFashion/data/img/Open-Front_Shawl_Lapel_Blazer/img_00000084.jpg,True,train,2,Blazer,1,42,113,230,300,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,graphic,other,other,not_applicable,long_sleeve,v_neckline,graphic,1,outerwear
